precipitação_1,precipitação_2,precipitação_3,precipitação_4,el_12_1,el_12_2,el_12_3,el_12_4,el_34_1,el_34_2,el_34_3,el_34_4,el_3_1,el_3_2,el_3_3,el_3_4,el_4_1,el_4_2,el_4_3,el_4_4,NTA_1,NTA_2,NTA_3,NTA_4,TNA_1,TNA_2,TNA_3,TNA_4,TSA_1,TSA_2,TSA_3,TSA_4,crop_anterior,crop_quixeramobim_total
86.2,26.2,42.3,52.0,28.12,28.74,29.23,28.22,28.93,28.78,28.62,28.6,28.74,28.9,29.12,29.22,28.95,28.79,28.62,28.56,0.47,0.58,0.67,0.56,0.43,0.77,0.75,0.59,0.72,0.74,0.69,0.54,10940,14176
126.5,97.6,169.6,112.1,23.79,25.56,26.45,24.64,24.86,25.43,26.33,26.7,24.41,25.52,26.68,26.71,26.64,26.56,26.98,27.41,-0.11,-0.32,-0.38,-0.31,-0.1,-0.2,-0.23,-0.13,0.13,0.05,0.33,0.45,14176,20056
73.0,70.7,138.3,221.4,23.81,25.48,26.02,25.5,24.78,25.21,26.3,26.95,24.0,25.27,26.7,27.41,26.99,26.73,26.89,27.2,-0.13,-0.16,-0.14,-0.15,-0.18,-0.1,0.06,-0.01,0.21,0.39,0.4,0.37,20056,21365
38.5,20.7,172.9,163.6,23.94,25.62,26.66,25.72,25.81,26.12,26.8,27.33,25.24,26.12,27.2,27.46,27.43,27.37,27.61,28.04,-0.27,-0.11,-0.07,-0.03,-0.13,-0.15,0.15,0.05,0.16,0.17,0.29,0.38,21365,12233
407.2,63.0,110.8,302.5,23.79,26.03,27.25,26.35,26.39,26.71,27.29,27.84,25.17,26.16,27.35,27.58,28.72,28.66,28.57,29.03,0.61,0.51,0.25,0.0,0.78,0.53,0.37,-0.02,0.14,-0.06,0.29,0.31,12233,16037
55.1,122.9,157.7,172.9,24.69,25.98,26.42,24.98,27.15,27.39,27.65,27.68,26.23,26.84,27.39,27.14,28.89,28.88,28.92,28.96,-0.0,0.01,-0.02,0.01,0.27,0.0,0.04,0.0,0.56,0.57,0.63,0.42,16037,20087
305.4,197.6,177.3,130.4,24.36,26.03,25.75,24.96,26.81,26.98,27.4,27.89,26.08,26.7,27.34,27.52,28.75,28.57,28.42,28.71,0.49,0.47,0.38,0.19,0.5,0.51,0.36,0.46,0.41,0.22,-0.01,-0.26,20087,21562
23.6,15.6,88.4,79.2,24.54,25.16,25.03,25.12,27.21,27.11,27.73,28.08,25.98,26.31,27.14,27.53,29.2,28.87,28.93,29.05,0.38,0.47,0.57,0.75,0.46,0.38,0.68,0.81,0.61,0.49,0.61,0.29,21562,11096
75.0,31.8,157.8,135.4,24.19,26.32,26.2,24.04,25.63,26.08,26.57,27.5,24.85,26.06,26.65,27.16,27.82,27.52,27.73,28.29,0.39,0.19,0.16,0.25,0.41,0.19,0.18,0.41,0.04,0.23,0.41,0.31,11096,15790
7.0,175.8,145.4,96.5,25.23,26.21,25.84,24.31,27.24,26.88,27.1,27.5,26.53,26.49,26.8,26.95,28.97,28.66,28.66,28.73,0.4,0.42,0.44,0.31,0.46,0.56,0.33,0.4,0.24,0.21,0.04,0.24,15790,16192
83.6,47.2,250.4,139.6,24.08,26.32,26.88,25.94,24.86,25.08,26.07,26.83,24.19,25.16,26.45,27.12,26.87,26.62,26.97,27.46,0.03,0.08,0.11,0.1,0.14,0.18,0.27,0.09,0.19,0.36,0.6,0.64,16192,15114
30.8,100.7,163.6,320.7,24.4,25.42,25.67,25.94,25.66,25.96,26.59,27.47,25.15,25.84,26.49,27.41,27.37,27.35,27.74,28.37,-0.12,-0.29,-0.4,-0.38,0.07,-0.37,-0.34,-0.31,0.45,0.35,0.54,0.52,15114,17755
64.2,18.4,103.0,225.4,24.85,26.22,26.56,25.43,28.07,28.01,28.18,28.2,26.73,27.28,27.76,27.85,29.44,29.08,29.07,29.13,0.57,0.83,1.04,1.13,0.8,1.07,1.27,1.4,0.79,0.68,0.89,0.68,17755,7498
137.7,145.5,156.6,173.1,24.08,25.94,25.61,25.34,25.0,25.64,26.36,27.05,24.4,25.63,26.47,27.25,26.92,27.15,27.51,27.89,0.81,0.64,0.43,0.33,0.97,0.53,0.41,0.33,0.45,0.59,0.72,0.49,7498,22110
12.0,110.4,63.3,66.2,24.38,26.46,26.65,26.44,25.67,26.08,26.67,27.32,25.09,26.22,27.02,27.56,27.3,27.29,27.56,28.03,-0.08,-0.15,-0.17,-0.1,0.16,-0.02,-0.26,-0.17,-0.32,-0.51,-0.08,-0.33,22110,2267
3.7,57.8,43.2,145.5,23.89,25.37,25.81,24.31,26.01,26.24,27.03,27.57,25.0,25.84,27.08,27.22,28.24,28.01,27.95,28.36,0.43,0.46,0.48,0.53,0.44,0.4,0.7,0.53,0.39,0.25,0.26,0.35,2267,7824
6.2,46.6,152.6,67.7,24.56,25.49,26.17,25.51,26.05,26.14,27.0,27.9,25.23,25.62,26.89,27.64,28.14,28.27,28.6,28.98,0.01,-0.19,-0.23,-0.17,0.13,-0.08,-0.35,-0.21,0.11,0.22,0.22,0.23,7824,7448
10.4,107.9,160.7,50.5,24.41,25.57,26.57,26.54,27.05,27.17,27.75,28.52,26.01,26.46,27.3,28.21,29.07,29.07,29.22,29.61,0.09,-0.05,-0.18,-0.16,0.17,0.11,-0.11,-0.24,0.43,0.42,0.23,0.36,7448,16432
193.4,125.8,97.5,131.4,25.4,26.62,26.61,25.83,27.19,27.46,28.09,28.44,26.26,26.99,27.84,28.13,29.08,28.91,28.96,29.15,-0.04,-0.09,-0.09,-0.09,0.08,0.14,0.01,-0.02,0.75,0.68,1.02,0.65,18579,16702
