Year-month,TNA
1998-01-01,0.43
1998-02-01,0.77
1998-03-01,0.75
1998-04-01,0.59
1998-05-01,0.59
1998-06-01,0.66
1998-07-01,0.56
1998-08-01,0.67
1998-09-01,0.51
1998-10-01,0.49
1998-11-01,0.43
1998-12-01,0.29
1999-01-01,-0.1
1999-02-01,-0.2
1999-03-01,-0.23
1999-04-01,-0.13
1999-05-01,0.11
1999-06-01,0.15
1999-07-01,0.17
1999-08-01,0.34
1999-09-01,0.38
1999-10-01,0.25
1999-11-01,0.13
1999-12-01,0.27
2000-01-01,-0.18
2000-02-01,-0.1
2000-03-01,0.06
2000-04-01,-0.01
2000-05-01,-0.06
2000-06-01,-0.16
2000-07-01,0.01
2000-08-01,0.15
2000-09-01,0.02
2000-10-01,0.0
2000-11-01,-0.12
2000-12-01,-0.19
2001-01-01,-0.13
2001-02-01,-0.15
2001-03-01,0.15
2001-04-01,0.05
2001-05-01,0.06
2001-06-01,0.24
2001-07-01,0.3
2001-08-01,0.34
2001-09-01,0.51
2001-10-01,0.48
2001-11-01,0.62
2001-12-01,0.66
2002-01-01,0.78
2002-02-01,0.53
2002-03-01,0.37
2002-04-01,-0.02
2002-05-01,-0.19
2002-06-01,-0.13
2002-07-01,-0.06
2002-08-01,-0.05
2002-09-01,0.07
2002-10-01,0.36
2002-11-01,0.22
2002-12-01,0.2
2003-01-01,0.27
2003-02-01,0.0
2003-03-01,0.04
2003-04-01,0.0
2003-05-01,0.06
2003-06-01,0.22
2003-07-01,0.36
2003-08-01,0.59
2003-09-01,0.66
2003-10-01,0.8
2003-11-01,0.48
2003-12-01,0.49
2004-01-01,0.5
2004-02-01,0.51
2004-03-01,0.36
2004-04-01,0.46
2004-05-01,0.17
2004-06-01,0.27
2004-07-01,0.46
2004-08-01,0.68
2004-09-01,0.59
2004-10-01,0.62
2004-11-01,0.63
2004-12-01,0.53
2005-01-01,0.46
2005-02-01,0.38
2005-03-01,0.68
2005-04-01,0.81
2005-05-01,1.01
2005-06-01,0.92
2005-07-01,0.84
2005-08-01,0.74
2005-09-01,0.73
2005-10-01,0.54
2005-11-01,0.4
2005-12-01,0.55
2006-01-01,0.41
2006-02-01,0.19
2006-03-01,0.18
2006-04-01,0.41
2006-05-01,0.43
2006-06-01,0.52
2006-07-01,0.36
2006-08-01,0.53
2006-09-01,0.69
2006-10-01,0.74
2006-11-01,0.71
2006-12-01,0.47
2007-01-01,0.46
2007-02-01,0.56
2007-03-01,0.33
2007-04-01,0.4
2007-05-01,0.21
2007-06-01,0.16
2007-07-01,0.09
2007-08-01,0.01
2007-09-01,0.11
2007-10-01,0.24
2007-11-01,0.24
2007-12-01,0.09
2008-01-01,0.14
2008-02-01,0.18
2008-03-01,0.27
2008-04-01,0.09
2008-05-01,0.28
2008-06-01,0.39
2008-07-01,0.45
2008-08-01,0.45
2008-09-01,0.57
2008-10-01,0.43
2008-11-01,0.27
2008-12-01,0.26
2009-01-01,0.07
2009-02-01,-0.37
2009-03-01,-0.34
2009-04-01,-0.31
2009-05-01,-0.23
2009-06-01,0.05
2009-07-01,0.45
2009-08-01,0.41
2009-09-01,0.35
2009-10-01,0.63
2009-11-01,0.51
2009-12-01,0.54
2010-01-01,0.8
2010-02-01,1.07
2010-03-01,1.27
2010-04-01,1.4
2010-05-01,1.35
2010-06-01,1.11
2010-07-01,1.01
2010-08-01,0.97
2010-09-01,0.75
2010-10-01,0.77
2010-11-01,0.7
2010-12-01,0.96
2011-01-01,0.97
2011-02-01,0.53
2011-03-01,0.41
2011-04-01,0.33
2011-05-01,0.41
2011-06-01,0.59
2011-07-01,0.43
2011-08-01,0.49
2011-09-01,0.36
2011-10-01,0.44
2011-11-01,0.21
2011-12-01,0.23
2012-01-01,0.16
2012-02-01,-0.02
2012-03-01,-0.26
2012-04-01,-0.17
2012-05-01,0.09
2012-06-01,0.31
2012-07-01,0.3
2012-08-01,0.52
2012-09-01,0.72
2012-10-01,0.78
2012-11-01,0.75
2012-12-01,0.55
2013-01-01,0.44
2013-02-01,0.4
2013-03-01,0.7
2013-04-01,0.53
2013-05-01,0.64
2013-06-01,0.32
2013-07-01,0.34
2013-08-01,0.56
2013-09-01,0.61
2013-10-01,0.66
2013-11-01,0.32
2013-12-01,0.27
2014-01-01,0.13
2014-02-01,-0.08
2014-03-01,-0.35
2014-04-01,-0.21
2014-05-01,-0.06
2014-06-01,-0.05
2014-07-01,0.14
2014-08-01,0.23
2014-09-01,0.51
2014-10-01,0.56
2014-11-01,0.35
2014-12-01,0.34
2015-01-01,0.17
2015-02-01,0.11
2015-03-01,-0.11
2015-04-01,-0.24
2015-05-01,0.08
2015-06-01,-0.07
2015-07-01,0.16
2015-08-01,0.43
2015-09-01,0.72
2015-10-01,0.93
2015-11-01,0.49
2015-12-01,0.42
2016-01-01,0.5
2016-02-01,0.45
2016-03-01,0.39
2016-04-01,0.32
2016-05-01,0.38
2016-06-01,0.39
2016-07-01,0.37
2016-08-01,0.49
2016-09-01,0.39
2016-10-01,0.55
2016-11-01,0.46
2016-12-01,0.52
2017-01-01,0.49
2017-02-01,0.23
2017-03-01,0.13
2017-04-01,0.47
2017-05-01,0.58
2017-06-01,0.6
2017-07-01,0.6
2017-08-01,0.67
2017-09-01,0.52
2017-10-01,0.45
2017-11-01,0.53
2017-12-01,0.54
2018-01-01,0.28
2018-02-01,-0.09
2018-03-01,0.02
2018-04-01,-0.17
2018-05-01,-0.4
2018-06-01,-0.48
2018-07-01,-0.21
2018-08-01,0.01
2018-09-01,0.33
2018-10-01,0.29
2018-11-01,-0.01
2018-12-01,-0.04
2019-01-01,0.08
2019-02-01,0.14
2019-03-01,0.01
2019-04-01,-0.02
2019-05-01,0.12
2019-06-01,0.3
2019-07-01,0.37
2019-08-01,0.42
2019-09-01,0.57
2019-10-01,0.44
2019-11-01,0.26
2019-12-01,0.25
2020-01-01,0.25
2020-02-01,0.5
2020-03-01,0.73
2020-04-01,0.62
2020-05-01,0.52
2020-06-01,0.72
2020-07-01,0.65
2020-08-01,0.59
2020-09-01,0.52
2020-10-01,0.61
2020-11-01,0.39
2020-12-01,0.46
2021-01-01,0.52
2021-02-01,0.41
2021-03-01,0.14
2021-04-01,0.32
2021-05-01,0.24
2021-06-01,0.14
2021-07-01,0.25
2021-08-01,0.26
2021-09-01,0.54
2021-10-01,0.54
2021-11-01,
2021-12-01,
